SYMBOL	ID	ENTREZID	GENENAME	CHR	CHRLOC	ectoderm_rep1	endoderm_rep1	endoderm_rep2	HUES64_rep1	mesoderm_rep1	mesoderm_rep2	ectoderm_rep2	ectoderm_rep3	HUES64_rep2
RIOK2	gene10232	55781	RIO kinase 2	5	 -96496571;  -96502450	4.59	5.58	3.99	4.08	4.51	5.38	7.39	6.58	4.32
YTHDF1P1	gene10233	402220	YTH domain family, member 1 pseudogene 1	5	NA	0	0	0	0	0	0	0.02	0	0
LOC402221	gene10238	402221	actin, beta pseudogene	5	NA	0	0	0	0	0	0	0.08	0.18	0
KRT8P32	gene10239	100289133	keratin 8 pseudogene 32	5	NA	0	0.04	0.08	0	0	0	0	0	0
RNF11	gene1024	26994	ring finger protein 11	1	  51701945	11.41	17.89	15.73	8.48	21.31	18.75	18.96	17.35	8.5
LOC642909	gene10241	NA	NA	NA	NA	0	0	0	0	0.09	0	0	0	0
RGMB	gene10243	285704	repulsive guidance molecule family member b	5	  98104999	10.63	25.98	18.8	6.68	2.98	2.06	17.6	17.55	5.64
FLJ35946	gene10244	NA	NA	NA	NA	0.03	0	0.07	0	0.04	0	0.2	0	0.02
CSNK1A1P3	gene10245	100526776	casein kinase 1, alpha 1 pseudogene 3	5	NA	0	0	0	0	0	0	0	0	0.25
CHD1	gene10246	1105	chromodomain helicase DNA binding protein 1	5	 -98190908	11.06	10.81	9.64	6.94	7.4	7.01	19.13	15.82	7.95
LOC100289230	gene10247	100289230	uncharacterized LOC100289230	5	  98264838	0.42	0.49	0.3	0.07	0.23	0.08	1.11	0.68	0.13
RPS2P8	gene1025	440589	ribosomal protein S2 pseudogene 8	1	NA	0.14	0	0	0.15	0	0	0	0	0.11
GUSBP8	gene10250	441066	glucuronidase, beta pseudogene 8	5	NA	0.1	0.23	0.2	0.04	0.13	0.04	0.32	0.51	0.03
MTND5P10	gene10253	643031	MT-ND5 pseudogene 10	5	NA	0.03	0	0	0.11	0.04	0.04	0.03	0	0
LOC100289371	gene10254	100289371	mitochondrially encoded cytochrome c oxidase III pseudogene	5	NA	0	0	0	0	0	0	0.07	0	0
LOC100289404	gene10256	100289404	mitochondrially encoded cytochrome c oxidase II pseudogene	5	NA	0	0	0.24	0	0.13	0	0	0.13	0
LOC100133050	gene10259	100133050	glucuronidase, beta pseudogene	5	 -99715209	0.21	0.11	0.12	0	0	0	0.17	0.63	0.08
TTC39A	gene1026	22996	tetratricopeptide repeat domain 39A	1	 -51752930	0.07	0.36	0.43	0.79	0.16	0.21	0.02	0	0.54
FAM174A	gene10261	345757	family with sequence similarity 174, member A	5	  99871124	1.14	2.86	1.79	0.49	2.23	2.21	1.47	1.64	0.56
ST8SIA4	gene10262	7903	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	5	-100142639; -100221015	0.36	3.79	4.66	0.41	1.5	1.44	0.28	0.54	0.26
SLCO4C1	gene10266	353189	solute carrier organic anion transporter family, member 4C1	5	-101569692	0.26	0.44	0.35	0.77	0.47	0.46	0.45	0.42	0.97
SLCO6A1	gene10267	133482	solute carrier organic anion transporter family, member 6A1	5	-101707652	0.02	0.21	0.14	0.05	0	0.03	0.2	0.06	0.05
PAM	gene10268	5066	peptidylglycine alpha-amidating monooxygenase	5	 102201527	28.78	21.52	20.56	6.85	34.94	27.7	50.23	49.38	6.02
EIF3KP1	gene10269	134505	eukaryotic translation initiation factor 3, subunit K pseudogene 1	5	NA	0	0	0	0.1	0	0.11	0.16	0.11	0
EPS15	gene1027	2060	epidermal growth factor receptor pathway substrate 15	1	 -51819935	5.74	9.24	6.58	4.31	10.21	8.71	8.6	7.87	4.09
GIN1	gene10270	54826	gypsy retrotransposon integrase 1	5	-102421704	1.29	1.51	1.3	0.72	0.87	1.08	1.67	1.94	0.86
PPIP5K2	gene10271	23262	diphosphoinositol pentakisphosphate kinase 2	5	 102465257	6.79	7.44	6.44	5.3	5.35	6.3	12.18	10.62	5.73
C5orf30	gene10272	90355	chromosome 5 open reading frame 30	5	 102594442	5.15	7.2	5.64	2.95	2.63	2.94	8.05	7.83	2.15
NUDT12	gene10273	83594	nudix (nucleoside diphosphate linked moiety X)-type motif 12	5	-102884556	2.24	2.67	3.2	1.51	1.43	1.58	2.98	2.65	1.28
LOC345571	gene10275	345571	RUN and FYVE domain containing 3 pseudogene	5	NA	0	0	0	0	0	0	0	0.04	0
EFNA5	gene10277	1946	ephrin-A5	5	-106712590	5.98	3.56	3.58	1.6	0.88	0.73	21.82	15.95	1.35
LOC100129233	gene10278	100129233	uncharacterized LOC100129233	5	NA	0.03	0.14	0.04	0	0.04	0.08	0.62	0.13	0.02
LOC345576	gene10279	345576	ubiquitin specific peptidase 7 (herpes virus-associated) pseudogene	5	NA	0	0.03	0	0	0.03	0	0	0	0
FBXL17	gene10280	64839	F-box and leucine-rich repeat protein 17	5	-107194734	0.83	2.02	1.83	0.59	2.94	2.78	1.24	1.1	0.45
RPS20P3	gene10281	6225	ribosomal protein S20 pseudogene 3	5	NA	0	0	0	0.16	0.19	0	0	0.19	0
HP07349	gene10282	NA	NA	NA	NA	0.4	0.21	0	0.21	0.95	0.7	0.81	0.71	0
FER	gene10283	2241	fer (fps/fes related) tyrosine kinase	5	 108083523	1.56	2.57	2.98	1.32	2.16	2.55	2.24	2.67	1.17
LOC100422561	gene10284	100422561	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 pseudogene	5	NA	0	0.05	0.1	0	0	0	0	0.11	0
LOC100820733	gene10285	100820733	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae) pseudogene	5	NA	0	0	0	0	0.13	0	0	0	0
GJA1P1	gene10286	2698	gap junction protein, alpha 1, 43kDa pseudogene 1	5	NA	0.14	0.17	0.13	0.06	0.09	0.05	0.41	0.66	0.16
PJA2	gene10287	9867	praja ring finger 2, E3 ubiquitin protein ligase	5	-108670410	12.32	23.79	20.55	8.9	33.18	31.42	19.6	17.06	7.45
KRT18P42	gene10288	391819	keratin 18 pseudogene 42	5	NA	0.09	0.1	0.27	0.39	1.66	1.99	0.19	0	0.18
MAN2A1	gene10289	4124	mannosidase, alpha, class 2A, member 1	5	 109025156	11.19	7.85	6.93	7.5	27.26	26.67	15.51	14.9	8.05
CALR4P	gene1029	441884	calreticulin 4, pseudogene	1	NA	0.03	0.07	0.09	0.01	0.03	0.04	0.22	0.17	0.01
TMEM232	gene10293	642987	transmembrane protein 232	5	-109755198	0.09	0.16	0.09	0.1	0.09	0.11	0.28	0.09	0.06
SLC25A46	gene10295	91137	solute carrier family 25, member 46	5	 110074754	5.53	7.48	7.12	4.27	7.26	7.42	8.77	8.01	4.47
LOC728366	gene10296	728366	BCL2-associated transcription factor 1 pseudogene	5	NA	0	0.01	0	0	0.01	0	0.01	0	0
LOC100131280	gene10297	100131280	integrin alpha FG-GAP repeat containing 2 pseudogene	5	NA	0	0	0	0	0	0	0	0	0.03
TSLP	gene10298	85480	thymic stromal lymphopoietin	5	 110407390;  110405778;  110409012	0.07	0.11	0.03	0.11	1.25	2.36	0.02	0	0.1
WDR36	gene10299	134430	WD repeat domain 36	5	 110427870	3.63	4.97	4.53	3.5	4.17	4.28	5.89	5.71	4.06
HES5	gene103	388585	hes family bHLH transcription factor 5	1	  -2460184	9.94	17.89	12.8	0.77	0.17	0.35	10.25	7.3	0.19
OSBPL9	gene1030	114883	oxysterol binding protein-like 9	1	  52082546;   52195486	15.22	19.18	15.47	10.9	23.47	22.33	22.37	18.96	9.82
LOC100129099	gene10300	100129099	proline-rich nuclear receptor coactivator 2 pseudogene	5	NA	0	0.11	0	0	0	0	0	0	0
RPS3AP21	gene10301	402287	ribosomal protein S3a pseudogene 21	5	NA	0	0	0	0	0	0.1	0.14	0.4	0
CAMK4	gene10302	814	calcium/calmodulin-dependent protein kinase IV	5	 110559947	0.32	1.08	0.77	1.11	0.74	0.48	0.67	0.49	0.81
STARD4	gene10303	134429	StAR-related lipid transfer (START) domain containing 4	5	-110834022	4.23	13.9	12.6	7.54	15.67	13.57	8.23	9.55	7.24
STARD4-AS1	gene10304	100505678	STARD4 antisense RNA 1	5	 110847924	0.03	0.03	0.04	0.02	0	0	0.34	0.26	0.06
NREP	gene10306	9315	neuronal regeneration related protein	5	-111065000	82.32	138.42	111.21	53.96	55.36	46.76	143.06	152.04	57.37
EPB41L4A-AS1	gene10309	114915	EPB41L4A antisense RNA 1	5	 111496223	9.66	10.58	6.65	8	5.36	3.96	13.36	10.05	8.56
SNORA13	gene10310	654322	small nucleolar RNA, H/ACA box 13	5	 111497182	19.28	0	0	0	0	0	0	0	29.91
EPB41L4A	gene10311	64097	erythrocyte membrane protein band 4.1 like 4A	5	-111498315	0.99	2.47	2.16	1.5	2.65	2.36	1.62	1.33	0.64
FLJ11235	gene10312	NA	NA	NA	NA	0.05	0.15	0.05	0.1	0.05	0	0.19	0.11	0.03
APC	gene10315	324	adenomatous polyposis coli	5	 112073556;  112043202	2.93	5.28	5.13	2.41	3.06	2.89	5.15	4.11	2.5
SRP19	gene10317	6728	signal recognition particle 19kDa	5	 112196885	8.11	9.77	9.43	9.22	7.92	8.84	13.77	10.19	10.06
REEP5	gene10318	7905	receptor accessory protein 5	5	-112212081	7.16	8.69	8.7	7	11.98	12.41	9.27	7.83	6.34
XBP1P1	gene10319	7495	X-box binding protein 1 pseudogene 1	5	NA	0	0.13	0.05	0	0.05	0.05	0.13	0.35	0.03
SLC25A6P3	gene1032	100422686	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 3	1	NA	0	0.09	0	0	0	0	0	0	0
ZRSR1	gene10320	7310	zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 1	5	NA	0	0.67	0.31	0.24	0	0.25	0	0.81	0.29
DCP2	gene10321	167227	decapping mRNA 2	5	 112312407	5.31	5.65	5.67	4.9	3.87	3.66	12.41	11.59	5.32
MCC	gene10322	4163	mutated in colorectal cancers	5	-112357796	1.05	4.87	5.31	2.57	2.73	2.88	1.42	1.96	2.95
YTHDC2	gene10324	64848	YTH domain containing 2	5	 112849391	2.71	4.94	3.98	2.77	3.24	3.12	4.51	4.09	2.89
KCNN2	gene10325	3781	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	5	 113698016;  113769227	2.04	1.34	1.01	3.06	6.81	6.59	2.43	2.38	3.53
TRIM36	gene10326	55521	tripartite motif containing 36	5	-114460459; -114513236; -114506799	3.22	3.95	3.9	1.43	0.79	0.59	4.54	3.78	1.75
PGGT1B	gene10327	5229	protein geranylgeranyltransferase type I, beta subunit	5	-114546527	3.05	4.07	3.17	3.14	3.18	2.43	5.86	4.08	3
RPS2P26	gene10328	643992	ribosomal protein S2 pseudogene 26	5	NA	0	0	0.12	0	0.12	0	0	0	0
CCDC112	gene10329	153733	coiled-coil domain containing 112	5	-114602885	2.87	4.31	4.31	2.97	1.8	1.82	3.12	3.73	2.32
NRD1	gene1033	4898	nardilysin (N-arginine dibasic convertase)	1	 -52254866	21.23	31.62	25.14	21.35	24.96	24.61	35.1	35.11	23.04
HMGN1P15	gene10330	100874441	high mobility group nucleosome binding domain 1 pseudogene 15	5	NA	0	0.42	0	0	0	0	0.31	0.46	0
CTNNA1P1	gene10331	1498	catenin (cadherin-associated protein), alpha 1 pseudogene 1	5	NA	0.02	0	0.02	0.04	0	0	0	0	0.01
CCT5P1	gene10333	402226	chaperonin containing TCP1, subunit 5 (epsilon) pseudogene 1	5	NA	0	0.08	0.04	0	0	0.05	0.03	0.05	0.09
FEM1C	gene10334	56929	fem-1 homolog c (C. elegans)	5	-114856608	3.33	4.22	4.04	2.75	3.45	2.91	5.57	4.85	2.63
TMED7-TICAM2	gene10335	100302736	TMED7-TICAM2 readthrough	5	-114914339	0.89	1.46	0.83	0.51	4.5	3.53	1.17	1.86	0.47
TMED7	gene10337	51014	transmembrane emp24 protein transport domain containing 7	5	-114948905	8.8	15.55	14.65	9.67	19.21	19.41	15.24	12.72	9.62
CDO1	gene10338	1036	cysteine dioxygenase type 1	5	-115140430	7.5	10.71	7.71	3.66	2.94	2.05	8.96	8.67	4.11
ATG12	gene10339	9140	autophagy related 12	5	-115163894	5.1	8.66	7.95	4.7	7.23	6.21	9.39	7.9	4.35
AP3S1	gene10340	1176	adaptor-related protein complex 3, sigma 1 subunit	5	 115177619	19.34	22.28	20.91	17.75	20.82	20.44	25.85	26.5	13.78
AQPEP	gene10341	206338	laeverin	5	 115298151	0.01	0.07	0.06	0	0.12	0.09	0.01	0.08	0.01
RPS25P6	gene10344	401206	ribosomal protein S25 pseudogene 6	5	NA	18.63	12.03	15.53	12.91	17.35	15.49	18.43	16.07	9.36
COMMD10	gene10345	51397	COMM domain containing 10	5	 115420727	8.27	12.69	11.66	10.67	10.04	9.85	11.54	10.67	9.59
SEMA6A	gene10347	57556	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	5	-115779251	7.05	17.77	12.63	28.44	9.45	6.57	16.55	14.9	26.99
RPS14P8	gene10348	644146	ribosomal protein S14 pseudogene 8	5	NA	0	0.16	0	0	0	0.17	0	0.17	0
RPS17P2	gene10349	6219	ribosomal protein S17 pseudogene 2	5	NA	0	0.19	0	0.18	0.62	0.2	0	0	0
RAB3B	gene1035	5865	RAB3B, member RAS oncogene family	1	 -52373628	3.93	5.02	5.04	4.41	3.38	2.1	7.45	5.96	4.42
LOC728342	gene10351	NA	NA	NA	NA	0.02	0.08	0.04	0.02	0	0.02	0.04	0.09	0
LOC100129526	gene10352	100129526	protein tyrosine phosphatase, receptor type, D pseudogene	5	NA	0.11	0.37	0.33	0.12	0.16	0.13	0.35	0.44	0.17
RPL7L1P4	gene10353	100130968	ribosomal protein L7-like 1 pseudogene 4	5	NA	0	0	0.11	0	0	0	0	0	0
LOC100505811	gene10354	100505811	uncharacterized LOC100505811	5	NA	0	0	0	0	0	0.06	0.13	0.06	0.04
DTWD2	gene10356	285605	DTW domain containing 2	5	-118172569	0.67	1.92	1.63	2.37	0.46	0.28	1.37	1.27	2.52
PTMAP2	gene10357	5759	prothymosin, alpha pseudogene 2	5	NA	6.77	10.59	7.45	6.2	4.83	3.57	7.79	7.6	7.82
DMXL1	gene10361	1657	Dmx-like 1	5	 118407084	1.62	2.76	2.15	2.17	1.99	1.94	2.81	2.06	2.55
LOC100418707	gene10362	100418707	septin 7 pseudogene	5	NA	0.04	0	0	0	0	0	0.03	0.09	0.03
TNFAIP8	gene10365	25816	tumor necrosis factor, alpha-induced protein 8	5	 118691596;  118604418	2.47	2.57	2.71	3.4	3.66	3.18	4.6	4.26	3.03
HSD17B4	gene10366	3295	hydroxysteroid (17-beta) dehydrogenase 4	5	 118788138;  118788202	23.28	27.04	20.8	30.27	14.36	15.37	42.77	40.73	28.33
FAM170A	gene10369	340069	family with sequence similarity 170, member A	5	 118965254	0	0	0	0	0	0	0	0	0.04
TXNDC12	gene1037	51060	thioredoxin domain containing 12 (endoplasmic reticulum)	1	 -52485804;  -52497769	14.86	20.04	17.3	12.56	19.17	15.59	19.05	18.4	13.32
LOC348958	gene10370	348958	mitochondrial ribosomal protein L10 pseudogene	5	NA	0	0	0	0	0	0	0.03	0	0
PRR16	gene10371	51334	proline rich 16	5	 119800019	0	0.26	0.2	0.04	0.83	0.7	0.06	0.04	0.05
SRFBP1	gene10376	153443	serum response factor binding protein 1	5	 121297656	2.2	3.18	2.92	3.52	2.45	2.88	4.21	3.58	3.72
LOX	gene10377	4015	lysyl oxidase	5	-121398890	0.49	1.56	1.13	0.39	38.86	30.12	0.15	0.18	0.28
ZNF474	gene10378	133923	zinc finger protein 474	5	 121465215	0.03	0.07	0.07	0	0.19	0.15	0.08	0.04	0
KTI12	gene1038	112970	KTI12 homolog, chromatin associated (S. cerevisiae)	1	 -52497777	1.63	2.38	1.58	1.81	1.68	1.54	4.3	2.89	2.38
SNCAIP	gene10380	9627	synuclein, alpha interacting protein	5	 121647820	2.62	3.51	2.57	0.92	4.74	3.2	3.48	3.73	0.84
MGC32805	gene10381	153163	uncharacterized LOC153163	5	-121772192	0.14	1.45	1.2	4.87	0	0	0.58	0.32	4.64
ARGFXP1	gene10382	503583	arginine-fifty homeobox pseudogene 1	5	NA	0.02	0	0	0	0	0	0.05	0.1	0.03
SNX2	gene10383	6643	sorting nexin 2	5	 122110750	17.61	20.02	16.79	16.25	20.42	20.27	24.48	23.43	15.24
SNX24	gene10384	28966	sorting nexin 24	5	 122181160	1.9	5.77	5.48	2.76	3.15	3.49	3.59	3.32	2.7
PPIC	gene10385	5480	peptidylprolyl isomerase C (cyclophilin C)	5	-122359078	0.31	2.41	2.45	1.15	9.86	11.12	0.13	0.06	1.48
PRDM6	gene10386	93166	PR domain containing 6	5	 122424841	0	0.11	0.09	0	1.26	1.6	0.03	0.05	0.02
SUMO1P5	gene10387	474341	SUMO1 pseudogene 5	5	NA	1.86	4.44	4.77	1.45	2.94	1.98	6.59	5.08	1.37
CEP120	gene10388	153241	centrosomal protein 120kDa	5	-122680579	3.43	4.1	4.17	2.32	4.55	4.88	6.48	5.21	2.16
KRT8P33	gene10389	100418737	keratin 8 pseudogene 33	5	NA	0.11	0.24	0.13	0.04	0.5	0.13	0.43	0.22	0.11
BTF3L4	gene1039	91408	basic transcription factor 3-like 4	1	  52521857	10.32	15.68	13.21	9.79	8.26	8.04	17.63	16.15	9.16
CSNK1G3	gene10391	1456	casein kinase 1, gamma 3	5	 122881111;  122847793	6.98	7.73	6.66	5.6	7.23	6.57	10.69	9.95	5.72
KRT18P16	gene10392	391827	keratin 18 pseudogene 16	5	NA	0	0.05	0	0	0.11	0.05	0	0	0
ZNF608	gene10394	57507	zinc finger protein 608	5	-123972610	15.78	16.31	13.37	5.12	5.37	4.56	33.72	25.11	4.75
RPL28P3	gene10395	391828	ribosomal protein L28 pseudogene 3	5	NA	0.22	0	0	0	0	0	0	0.27	0
GRAMD3	gene10399	65983	GRAM domain containing 3	5	 125758869;  125800787;  125695788	1.07	1	1.09	0.92	0.92	0.65	1.65	1.67	1.28
LOC115110	gene104	115110	uncharacterized LOC115110	1	  -2481359	0	0.03	0	0	0	0	0	0	0
ZFYVE9	gene1040	9372	zinc finger, FYVE domain containing 9	1	  52608046	4.08	5.11	3.72	3.19	3.03	2.67	10.37	8.68	3.45
ALDH7A1	gene10400	501	aldehyde dehydrogenase 7 family, member A1	5	-125877533	14.2	14.72	11.08	9.62	8.33	7.96	24.82	24.95	8.81
PHAX	gene10401	51808	phosphorylated adaptor for RNA export	5	 125936607	5.15	6.31	4.95	5.67	4.6	4.3	10.32	9.78	6.38
LOC644754	gene10404	644754	bolA family member 3 pseudogene	5	NA	0	0	0	0.15	0	0	0.12	0	0
LMNB1	gene10406	4001	lamin B1	5	 126112315;  126112845	43	55.78	48.51	47.26	27.7	27.23	82.18	80.62	50.58
MARCH3	gene10407	115123	membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase	5	-126203406	0.18	0.69	0.47	0.55	1.11	0.84	0.25	0.29	0.53
C5orf63	gene10408	401207	chromosome 5 open reading frame 63	5	-126386996; -126378250	0	0	0	0.08	0	0	0.01	0	0
LOC100190934	gene1041	100190934	alcohol dehydrogenase 5 (class III), chi polypeptide pseudogene	1	NA	0.13	0	0	0	0	0	0	0	0
MEGF10	gene10411	84466	multiple EGF-like-domains 10	5	 126626456	0.59	4.23	3.05	1.26	0.81	0.65	0.95	0.76	1.6
HNRNPKP1	gene10412	389322	heterogeneous nuclear ribonucleoprotein K pseudogene 1	5	NA	0.05	0.1	0.05	0	0	0.05	0	0	0
PRRC1	gene10413	133619	proline-rich coiled-coil 1	5	 126853309	7.42	12.08	11.16	7.08	15.13	12.26	11.21	9.95	7.77
CTXN3	gene10414	613212	cortexin 3	5	 126988707;  126984713	0	0	0.05	0	0	0	0.03	0.05	0
LOC728586	gene10415	NA	NA	NA	NA	0	0	0	0.08	0.18	0.09	0	0	0
FLJ33630	gene10417	NA	NA	NA	NA	0.52	0.28	0.23	0.13	0.22	0.33	0.5	0.34	0.2
SLC12A2	gene10418	6558	solute carrier family 12 (sodium/potassium/chloride transporter), member 2	5	 127419483	1.99	3.53	3.03	1.47	3.68	2.45	3.79	3.26	1.68
KDELC1P1	gene10419	100144494	KDEL (Lys-Asp-Glu-Leu) containing 1 pseudogene 1	5	NA	0	0	0.04	0	0.04	0	0.03	0	0
LOC724060	gene1042	724060	TRA2A pseudogene	1	NA	0	0	0	0	0	0	0.03	0	0
FBN2	gene10420	2201	fibrillin 2	5	-127593601	7.51	13.77	12.85	6.01	29.22	21.72	14.82	11.48	4.81
SLC27A6	gene10421	28965	solute carrier family 27 (fatty acid transporter), member 6	5	 128301210;  128301213	0.16	0.07	0.11	0.27	0.15	0.03	0.53	0.25	0.47
ISOC1	gene10422	51015	isochorismatase domain containing 1	5	 128430442	4.21	6.5	5.1	5.45	4.31	3.76	6.25	6.36	5.38
ADAMTS19	gene10425	171019	ADAM metallopeptidase with thrombospondin type 1 motif, 19	5	 128796103	4.25	3.52	3.3	3.42	1.15	1.19	5.96	7.04	3.49
KIAA1024L	gene10426	100127206	KIAA1024-like	5	 129083884	0	0	0	0	0	0	0.22	0	0
CHSY3	gene10427	337876	chondroitin sulfate synthase 3	5	 129240523	0.22	0.22	0.31	0.21	6.35	4.61	0.14	0.47	0.25
LOC100420028	gene10428	NA	NA	NA	NA	0	0	0	0	0.03	0.07	0	0	0.02
LOC100419023	gene1043	NA	NA	NA	NA	0	0	0	0	0.09	0.09	0	0	0
RPL11P2	gene10431	133629	ribosomal protein L11 pseudogene 2	5	NA	0	0	0	0	0	0	0	0.15	0.1
HINT1	gene10433	3094	histidine triad nucleotide binding protein 1	5	-130494875	108.94	136.34	119.45	104.48	106.55	98.28	118.39	120.03	113.9
LYRM7	gene10434	90624	LYR motif containing 7	5	 130506641	2.38	3.1	2.79	1.77	2.04	1.84	4.39	3.6	1.7
CDC42SE2	gene10435	56990	CDC42 small effector 2	5	 130599702	6.9	8.59	6.8	4.96	4.61	3.61	12.25	11.71	4.78
RAPGEF6	gene10436	51735	Rap guanine nucleotide exchange factor (GEF) 6	5	-130759614; -130799308; -130771517	1.71	3.62	2.92	1.49	1.91	1.75	2.84	2.34	1.75
FNIP1	gene10437	96459	folliculin interacting protein 1	5	-130977407	1.9	3.1	2.33	1.44	2.83	2.79	3.1	2.95	1.17
ACTBP4	gene10438	64	actin, beta pseudogene 4	5	NA	0.1	0.19	0.12	0.15	0.04	0.04	0.51	0.19	0
ACSL6	gene10440	23305	acyl-CoA synthetase long-chain family member 6	5	-131285667	0.07	0.22	0.08	0.1	0.16	0.18	0.18	0.15	0.08
CSF2	gene10442	1437	colony stimulating factor 2 (granulocyte-macrophage)	5	 131409485	0	0	0	0	0.11	0	0	0	0
P4HA2	gene10443	8974	prolyl 4-hydroxylase, alpha polypeptide II	5	-131528304	1.02	4.19	3.43	1.22	15.38	15.17	0.93	0.83	0.86
PDLIM4	gene10444	8572	PDZ and LIM domain 4	5	 131593351	2.42	4.75	4.62	1.72	6.3	4.14	2.75	2.94	1.17
SLC22A4	gene10445	6583	solute carrier family 22 (organic cation/zwitterion transporter), member 4	5	 131630145	0.08	0.06	0	0.06	0.23	0.23	0.09	0.2	0.06
LOC553103	gene10446	553103	uncharacterized LOC553103	5	-131646969	0	0	0	0	0	0.04	0.14	0.08	0
SLC22A5	gene10448	6584	solute carrier family 22 (organic cation/carnitine transporter), member 5	5	 131705401	0.48	0.55	0.64	0.32	0.19	0.17	0.55	0.46	0.35
C5orf56	gene10449	441108	chromosome 5 open reading frame 56	5	 131746465	0.52	0.19	0.2	0	0.1	0	0.14	0.21	0.13
LOC100861458	gene1045	NA	NA	NA	NA	0	0.15	0.09	0	0	0.09	0.19	0.08	0.06
IRF1	gene10450	3659	interferon regulatory factor 1	5	-131817301	0.56	0.47	0.65	0.66	1.46	1.38	1.7	1.44	0.51
RAD50	gene10452	10111	RAD50 homolog (S. cerevisiae)	5	 131892616	5.67	5.14	4.88	4.5	3.48	4.41	10.59	9.41	4.26
IL4	gene10454	3565	interleukin 4	5	 132009678	0	0	0	0	0	0	0	0	0.1
KIF3A	gene10455	11127	kinesin family member 3A	5	-132028323	2.78	3.69	3.76	1.35	2.35	1.93	5.21	4.79	1.36
CCNI2	gene10456	645121	cyclin I family, member 2	5	 132083137	0	0	0	0.05	0	0	0	0	0.1
SEPT8	gene10457	23176	septin 8	5	-132091697; -132086509	7.86	10.35	9	4.6	13.81	12.29	12.88	11.43	4.49
SOWAHA	gene10458	134548	sosondowah ankyrin repeat domain family member A	5	 132149033	0	0	0	0.05	0.06	0.04	0	0	0.01
SHROOM1	gene10459	134549	shroom family member 1	5	-132157833	0.46	0.6	0.49	0.43	1.36	1.14	1.45	0.99	0.6
ANAPC10P1	gene1046	729198	anaphase promoting complex subunit 10 pseudogene 1	1	NA	0	0	0.1	0	0	0	0.07	0	0
GDF9	gene10461	2661	growth differentiation factor 9	5	-132196878	0.06	0.23	0.07	0	0.07	0.14	0.18	0	0.02
UQCRQ	gene10462	27089	ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa	5	 132202319	10.79	20.57	16.5	13.37	15.9	13.07	15.09	14.67	16.13
LEAP2	gene10463	116842	liver expressed antimicrobial peptide 2	5	 132209358	0.1	0.33	0.12	0.22	0.12	0.24	0.25	0.74	0
AFF4	gene10464	27125	AF4/FMR2 family, member 4	5	-132211071	7.73	14.17	13.67	6.1	13.87	11.69	16.99	13.23	6.29
LOC100421798	gene10465	100421798	eukaryotic translation elongation factor 1 alpha 2 pseudogene	5	NA	0	0.06	0	0	0.07	0	0	0	0
ZCCHC10	gene10468	54819	zinc finger, CCHC domain containing 10	5	-132332678	3.85	5.41	5.46	3.8	2.86	3.31	6.7	6.93	3.77
HSPA4	gene10469	3308	heat shock 70kDa protein 4	5	 132387662	31.21	36.33	31.83	47.46	30.01	29.98	59.62	49.42	47.51
CC2D1B	gene1047	200014	coiled-coil and C2 domain containing 1B	1	 -52816265	1.95	2.7	2.43	1.48	2.38	2.12	4.27	3.43	1.86
FSTL4	gene10472	23105	follistatin-like 4	5	-132532152	0.19	0.22	0.15	0.23	0.18	0.05	0.25	0.24	0.2
C5orf15	gene10475	56951	chromosome 5 open reading frame 15	5	-133291198	13.45	19.17	15.36	10.72	17.53	16.93	21.03	19.88	9.64
VDAC1	gene10476	7416	voltage-dependent anion channel 1	5	-133307566	28.53	53.31	45.53	38.25	52.1	38.69	42.49	46.29	36.92
TCF7	gene10478	6932	transcription factor 7 (T-cell specific, HMG-box)	5	 133451350;  133451298;  133450402	1.59	2.74	2.02	2.4	2.81	2.59	3.03	2.57	2.1
SKP1	gene10479	6500	S-phase kinase-associated protein 1	5	-133492082	46.63	68.33	56.43	40.73	59.54	55.06	77.12	74.6	38.47
PLA2G12AP1	gene1048	100420258	phospholipase A2, group XIIA pseudogene 1	1	NA	0.18	0	0	0	0	0	0	0.37	0.11
PPP2CA	gene10480	5515	protein phosphatase 2, catalytic subunit, alpha isozyme	5	-133532148	33.22	43.06	37.24	34.19	36.22	33.26	51.38	44.48	39.68
CDKL3	gene10483	51265	cyclin-dependent kinase-like 3	5	-133643692; -133634115	0.43	0.72	0.99	0.39	0.56	0.43	1.07	0.89	0.18
UBE2B	gene10484	7320	ubiquitin-conjugating enzyme E2B	5	 133706870	5.07	8.38	7.31	4.08	7.91	6.45	6.14	4.54	3.68
CDKN2AIPNL	gene10485	91368	CDKN2A interacting protein N-terminal like	5	-133737756	17.3	14.81	14.23	15.07	12.69	10.94	22.1	22	16.3
PHF15	gene10487	NA	NA	NA	NA	0.5	0.74	0.48	2.74	1.46	1.46	0.64	0.62	4.17
